Data;fev/14;mar/14;abr/14;mai/14;jun/14;jul/14;ago/14;set/14;out/14;nov/14;dez/14;jan/15;fev/15;mar/15;abr/15;mai/15;jun/15;jul/15;ago/15;set/15;out/15;nov/15;dez/15;jan/16;fev/16;mar/16;abr/16;mai/16;jun/16;jul/16;ago/16;set/16;out/16;nov/16;dez/16;jan/17;fev/17;mar/17;abr/17;mai/17;jun/17;jul/17;ago/17;set/17;out/17;nov/17;dez/17;jan/18
17/06/2014; ; ; ;-0,3;-0,5;0,45;0,55;0;0,4;0,66;2,5;1,8;2;1,7;1,7;1,05;1,7;1,29;1,52;1,23;1,43; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;;;;
18/06/2014; ; ; ;-0,2;0;0,9;1;0;0,8;1;2,5;1,9;2;1,75;1,85;1,17;1,7;1,58;1,7;1;1,43; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;;;;
20/06/2014; ; ; ;-0,4;-1;0,9;1;0;0,8;1;2,85;1,9;2;1,75;1,85;1,17;1,7;1,58;1,7;1;1,43; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;;;;
23/06/2014; ; ; ;-0,4;-1;0,9;1;0;0,8;1;2,85;1,9;2;1,75;1,85;1,17;1,7;1,58;1,7;1;1,43; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;;;;
24/06/2014; ; ; ;-0,4;-1;0,9;1;0;0,8;1;2,85;1,9;2;1,75;1,85;1,17;1,7;1,58;1,7;1;1,43; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;;;;
25/06/2014; ; ; ;-0,4;-1;0,9;1;0;0,8;1;2,85;1,9;2;1,75;1,85;1,17;1,7;1,58;1,7;1;1,43; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;;;;
26/06/2014; ; ; ;-0,4;-1;0,9;1;0;0,8;1;2,85;1,9;2;1,75;1,85;1,17;1,7;1,58;1,7;1;1,43; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;;;;
27/06/2014; ; ; ;-0,4;-1;0,9;1;0;0,8;1;2,85;1,9;2;1,75;1,85;1,17;1,7;1,58;1,7;1;1,43; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;;;;
30/06/2014; ; ; ;-0,6;-1;-0,75;1;0;-0,91;0,32;2,45;1,9;2;1,75;1,85;1,17;1,7;1,58;1,7;1;1,43; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;;;;
01/07/2014; ; ; ;-0,6;-1;-0,75;1;0;-0,91;0,32;2,45;1,9;2;1,75;1,85;1,17;1,7;1,58;1,7;1;1,43; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;;;;
